ISO3,country_name,region,income_group,population,gdp_ppp,total_ghg,co2_fossil,ghg_per_capita,re_share_elec,ndgain_rank,ndgain_vuln,ndgain_ready,data_year,source_primary
MKD,North Macedonia,Europe,,1827816,15855131189,8.416964530944824,7.338385105133057,4.897817134857178,32.272,,,,2024,Supabase
MAC,Macau,Asia,,678800,45626467280,1.1505308151245117,1.0428650379180908,1.6161671876907349,40.816,,,,2024,Supabase
ARM,Armenia,Asia,,2964300,24185982216,8.521516799926758,7.430227756500244,3.5346691608428955,27.977,,,,2024,Supabase
BWA,Botswana,Africa,,2480244,19411266967,10.211204528808594,7.248676776885986,8.668120384216309,0.386,,,,2024,Supabase
NPL,Nepal,Asia,,29694614,41047772331,25.91023826599121,18.347820281982422,1.9900327920913696,100,,,,2024,Supabase
STP,São Tomé and Príncipe,Africa,,230871,690456807,0.21368247270584106,0.13983799517154694,1.2928370237350464,11.111,,,,2024,Supabase
BEN,Benin,Africa,,14111034,19673291004,10.194464683532715,5.927823066711426,2.855956792831421,3,,,,2024,Supabase
SLB,Solomon Islands,Oceania,,800005,1506124566,0.5258491635322571,0.28176000714302063,4.295607566833496,9.091,,,,2024,Supabase
GIN,Guinea,Africa,,14405468,22407615556,9.115676879882812,3.8750269412994385,5.446195125579834,74.815,,,,2024,Supabase
MYT,Mayotte,Africa,,320901,,,,,,,,,2024,Supabase
GRL,Greenland,Americas,,56865,3326543974,,0.6089550256729126,10.2857645300273,87.037,,,,2024,Supabase
MCO,Monaco,Europe,,38956,10003892565,,,,,,,,2024,Supabase
PAK,Pakistan,Asia,,247504495,336686348609,250.32569885253906,186.8608856201172,1.913934350013733,29.192,,,,2024,Supabase
MYS,Malaysia,Asia,,35126298,399949418753,303.7167663574219,276.2967529296875,10.714271545410156,19.159,,,,2024,Supabase
UNK,Kosovo,Europe,,1585566,,,,,,,,,2024,Supabase
MDA,Moldova,Europe,,2457783,16711906746,7.0373148918151855,5.329302787780762,2.203063726425171,12.079,,,,2024,Supabase
TUV,Tuvalu,Oceania,,9816,62280312,0.012032798491418362,0.010940000414848328,1.96502685546875,,,,,2024,Supabase
SPM,Saint Pierre and Miquelon,Americas,,5819,,,0.05327500030398369,,0,,,,2024,Supabase
SEN,Senegal,Africa,,18077573,30696331296,17.714557647705078,14.081856727600098,1.9239916801452637,21.739,,,,2024,Supabase
PAN,Panama,Americas,,4458759,83812155244,14.908473014831543,13.002120971679688,4.828821182250977,61.772,,,,2024,Supabase
MLT,Malta,Europe,,552747,22610561526,1.8978005647659302,1.7680020332336426,3.6627652645111084,13.617,,,,2024,Supabase
UGA,Uganda,Africa,,48656601,48768955863,25.33517074584961,6.235860824584961,1.2818547487258911,97.391,,,,2024,Supabase
ALB,Albania,Europe,,2414095,23491242727,5.496903896331787,4.417333126068115,2.5053598880767822,100,,,,2024,Supabase
ARE,United Arab Emirates,Asia,,10483751,522622191967,247.633544921875,210.42510986328125,23.47967529296875,8.38,,,,2024,Supabase
CRI,Costa Rica,Americas,,5105525,86497941439,11.21774959564209,8.472529411315918,2.904000759124756,99.915,,,,2024,Supabase
BLM,Saint Barthélemy,Americas,,10562,,,,,,,,,2024,Supabase
SHN,"Saint Helena, Ascension and Tristan da Cunha",Africa,,5651,,0.01264885812997818,0.010970000177621841,2.700113534927368,0,,,,2024,Supabase
ISR,Israel,Asia,,9849000,512184638999,64.80078125,55.381996154785156,7.205275058746338,10.509,,,,2024,Supabase
AUT,Austria,Europe,,9131761,516670509629,62.41471862792969,56.90895462036133,7.578158378601074,84.713,,,,2024,Supabase
LAO,Laos,Asia,,7664993,15843155731,27.692384719848633,24.157068252563477,8.229655265808105,76.711,,,,2024,Supabase
FRA,France,Europe,,68372286,3056250648138,301.159912109375,270.2626647949219,5.194771766662598,26.471,,0.305,0.67,2024,Supabase
